Time_ns,NumberOfResidueContacts
0.0,28
0.002,28
0.004,27
0.006,24
0.008,28
0.01,27
0.012,24
0.014,25
0.016,26
0.018,24
0.02,23
0.022,25
0.024,26
0.026,26
0.028,22
0.03,26
0.032,25
0.034,26
0.036,22
0.038,24
0.04,24
0.042,24
0.044,25
0.046,21
0.048,23
0.05,22
0.052,25
0.054,27
0.056,28
0.058,27
0.06,28
0.062,28
0.064,30
0.066,31
0.068,28
0.07,29
0.072,28
0.074,30
0.076,32
0.078,27
0.08,28
0.082,27
0.084,23
0.086,28
0.088,28
0.09,28
0.092,25
0.094,30
0.096,30
0.098,30
0.1,27
0.102,23
0.104,28
0.106,31
0.108,28
0.11,26
0.112,28
0.114,28
0.116,29
0.118,27
0.12,32
0.122,25
0.124,30
0.126,34
0.128,31
0.13,34
0.132,26
0.134,28
0.136,31
0.138,26
0.14,25
0.142,27
0.144,31
0.146,34
0.148,28
0.15,32
0.152,27
0.154,32
0.156,31
0.158,28
0.16,22
0.162,26
0.164,32
0.166,30
0.168,24
0.17,27
0.172,29
0.174,25
0.176,28
0.178,26
0.18,28
0.182,29
0.184,25
0.186,31
0.188,32
0.19,30
0.192,29
0.194,28
0.196,31
0.198,31
0.2,28
0.202,32
0.204,33
0.206,31
0.208,29
0.21,29
0.212,33
0.214,31
0.216,31
0.218,29
0.22,28
0.222,31
0.224,31
0.226,31
0.228,29
0.23,30
0.232,30
0.234,26
0.236,33
0.238,29
0.24,28
0.242,32
0.244,31
0.246,30
0.248,34
0.25,34
0.252,35
0.254,31
0.256,29
0.258,30
0.26,30
0.262,37
0.264,30
0.266,32
0.268,36
0.27,34
0.272,32
0.274,32
0.276,34
0.278,29
0.28,31
0.282,30
0.284,30
0.286,30
0.288,29
0.29,29
0.292,28
0.294,28
0.296,32
0.298,30
0.3,32
0.302,30
0.304,31
0.306,34
0.308,33
0.31,27
0.312,27
0.314,26
0.316,28
0.318,23
0.32,30
0.322,31
0.324,29
0.326,26
0.328,32
0.33,33
0.332,32
0.334,26
0.336,29
0.338,30
0.34,29
0.342,30
0.344,27
0.346,27
0.348,29
0.35,30
0.352,29
0.354,34
0.356,31
0.358,31
0.36,31
0.362,28
0.364,24
0.366,27
0.368,30
0.37,31
0.372,27
0.374,27
0.376,26
0.378,28
0.38,26
0.382,31
0.384,29
0.386,33
0.388,30
0.39,32
0.392,30
0.394,31
0.396,32
0.398,33
0.4,33
0.402,28
0.404,30
0.406,27
0.408,29
0.41,27
0.412,31
0.414,31
0.416,31
0.418,25
0.42,29
0.422,27
0.424,31
0.426,31
0.428,31
0.43,26
0.432,32
0.434,33
0.436,28
0.438,31
0.44,27
0.442,30
0.444,33
0.446,29
0.448,34
0.45,29
0.452,35
0.454,33
0.456,32
0.458,32
0.46,31
0.462,29
0.464,29
0.466,31
0.468,33
0.47,25
0.472,33
