Time_ns,RMSD_Framework_A,RMSD_CDRs_A
0.0000,0.0000,0.0042
0.0020,0.7345,0.6042
0.0040,0.7641,0.6320
0.0060,0.8651,0.6184
0.0080,0.8266,0.7877
0.0100,0.8988,0.9368
0.0120,0.9382,0.8935
0.0140,0.9873,1.0208
0.0160,1.0068,0.9605
0.0180,1.0128,0.9377
0.0200,1.1179,1.0571
0.0220,1.0915,1.1361
0.0240,1.0543,0.9735
0.0260,1.1421,1.0412
0.0280,1.0786,1.1362
0.0300,1.0318,1.1258
0.0320,1.0574,1.0803
0.0340,1.1112,1.1026
0.0360,1.0308,1.0708
0.0380,1.1051,0.9076
0.0400,1.0940,1.0981
0.0420,1.0646,1.1737
0.0440,1.0805,1.0140
0.0460,1.0280,1.1136
0.0480,1.0434,1.1193
0.0500,1.0201,1.1032
0.0520,1.0564,1.0309
0.0540,1.1109,1.2179
0.0560,1.0837,1.1516
0.0580,1.0771,1.3510
0.0600,1.0577,1.2450
0.0620,1.1627,1.2312
0.0640,1.1581,1.3536
0.0660,1.0974,1.5135
0.0680,1.1377,1.2852
0.0700,1.0728,1.1891
0.0720,1.0812,1.0969
0.0740,1.0898,1.2341
0.0760,1.1156,1.2608
0.0780,1.1051,1.2981
0.0800,1.1501,1.3172
0.0820,1.0679,1.3274
0.0840,1.1661,1.4772
0.0860,1.1691,1.4608
0.0880,1.2029,1.4680
0.0900,1.2076,1.7549
0.0920,1.1762,1.6189
0.0940,1.1934,1.5658
0.0960,1.1636,1.5509
0.0980,1.1391,1.4377
0.1000,1.1995,1.3735
0.1020,1.1571,1.4786
0.1040,1.0952,1.5172
0.1060,1.1388,1.7379
0.1080,1.1939,1.4074
0.1100,1.2175,1.5899
0.1120,1.2207,1.5579
0.1140,1.2465,1.4079
0.1160,1.2415,1.3213
0.1180,1.2024,1.4487
0.1200,1.1789,1.3086
0.1220,1.1659,1.4130
0.1240,1.1683,1.4683
0.1260,1.1961,1.4508
0.1280,1.1550,1.6528
0.1300,1.1859,1.4880
0.1320,1.2030,1.5515
0.1340,1.1273,1.3834
0.1360,1.1391,1.4552
0.1380,1.2303,1.4821
0.1400,1.1597,1.3752
0.1420,1.1588,1.3635
0.1440,1.1945,1.4494
0.1460,1.1845,1.6375
0.1480,1.2026,1.5791
0.1500,1.1592,1.3517
0.1520,1.1743,1.4842
0.1540,1.0917,1.4414
0.1560,1.1873,1.3854
0.1580,1.1992,1.1046
0.1600,1.2795,1.3068
0.1620,1.2345,1.2868
0.1640,1.1504,1.4819
0.1660,1.2200,1.4142
0.1680,1.1936,1.4760
0.1700,1.2394,1.5153
0.1720,1.1307,1.5337
0.1740,1.1593,1.5513
0.1760,1.1069,1.6007
0.1780,1.1295,1.4998
0.1800,1.1244,1.3809
0.1820,1.1145,1.3944
0.1840,1.1092,1.2230
0.1860,1.1492,1.2821
0.1880,1.1189,1.3376
0.1900,1.1224,1.3562
0.1920,1.0912,1.4219
0.1940,1.1370,1.4972
0.1960,1.1658,1.7230
0.1980,1.2372,1.7854
0.2000,1.2339,1.6486
0.2020,1.1663,1.6526
0.2040,1.1748,1.6655
0.2060,1.1718,1.6432
0.2080,1.2044,1.6700
0.2100,1.1853,1.5798
0.2120,1.2498,1.5542
0.2140,1.1692,1.4951
0.2160,1.1876,1.6047
0.2180,1.1662,1.5458
0.2200,1.1726,1.5847
0.2220,1.2022,1.4211
0.2240,1.2084,1.6396
0.2260,1.2476,1.4758
0.2280,1.2005,1.5548
0.2300,1.1858,1.4878
0.2320,1.1926,1.4981
0.2340,1.3042,1.5408
0.2360,1.2562,1.5606
0.2380,1.2209,1.4794
0.2400,1.2680,1.4919
0.2420,1.2444,1.5589
0.2440,1.2683,1.5302
0.2460,1.2506,1.6372
0.2480,1.3229,1.6983
0.2500,1.2773,1.6233
0.2520,1.3368,1.7136
0.2540,1.2830,1.6827
0.2560,1.2686,1.6442
0.2580,1.3124,1.6448
0.2600,1.2721,1.6585
0.2620,1.2655,1.6472
0.2640,1.2907,1.4714
0.2660,1.3376,1.5062
0.2680,1.3397,1.4871
0.2700,1.2875,1.5638
0.2720,1.3140,1.6983
0.2740,1.3630,1.6017
0.2760,1.3106,1.5207
0.2780,1.2810,1.5410
0.2800,1.2437,1.4263
0.2820,1.2786,1.5615
0.2840,1.2559,1.3804
0.2860,1.1995,1.4673
0.2880,1.2657,1.4536
0.2900,1.2468,1.5265
0.2920,1.2348,1.5884
0.2940,1.1868,1.5265
0.2960,1.1920,1.6323
0.2980,1.1886,1.4364
0.3000,1.1325,1.5628
0.3020,1.1148,1.6346
0.3040,1.2192,1.5067
0.3060,1.1933,1.5103
0.3080,1.2402,1.6005
0.3100,1.1664,1.4671
0.3120,1.2101,1.4992
0.3140,1.2208,1.4568
0.3160,1.2052,1.5253
0.3180,1.2029,1.5453
0.3200,1.2100,1.3912
0.3220,1.2488,1.5207
0.3240,1.2264,1.5730
0.3260,1.2057,1.4776
0.3280,1.1753,1.6268
0.3300,1.1209,1.5326
0.3320,1.1299,1.4427
0.3340,1.1913,1.5157
0.3360,1.1745,1.6024
0.3380,1.1389,1.5222
0.3400,1.2664,1.7076
0.3420,1.2620,1.5381
0.3440,1.1798,1.6811
0.3460,1.1903,1.5557
0.3480,1.2478,1.5644
0.3500,1.3417,1.4672
0.3520,1.2770,1.6553
0.3540,1.2688,1.7038
0.3560,1.1940,1.6477
0.3580,1.1642,1.5248
0.3600,1.1743,1.6665
0.3620,1.2098,1.5335
0.3640,1.1751,1.6723
0.3660,1.1678,1.7765
0.3680,1.1181,1.7112
0.3700,1.1500,1.6666
0.3720,1.1011,1.5197
0.3740,1.1497,1.6512
0.3760,1.2320,1.6934
0.3780,1.1754,1.7698
0.3800,1.2741,1.7160
0.3820,1.2323,1.6177
0.3840,1.2308,1.6342
0.3860,1.1973,1.5070
0.3880,1.2340,1.5589
0.3900,1.2063,1.3636
0.3920,1.2457,1.4507
0.3940,1.2055,1.3705
0.3960,1.1539,1.3002
0.3980,1.1693,1.3666
0.4000,1.2564,1.3446
0.4020,1.2934,1.2986
0.4040,1.2537,1.1725
0.4060,1.2883,1.4012
0.4080,1.1921,1.5059
0.4100,1.2154,1.4980
0.4120,1.2747,1.4425
0.4140,1.2629,1.6187
0.4160,1.2996,1.5252
0.4180,1.3168,1.4823
0.4200,1.2824,1.5866
0.4220,1.3500,1.5981
0.4240,1.3170,1.6719
0.4260,1.2975,1.5786
0.4280,1.2148,1.6291
0.4300,1.2186,1.5995
0.4320,1.1914,1.6087
0.4340,1.1435,1.5759
0.4360,1.1403,1.6126
0.4380,1.1604,1.6467
0.4400,1.2037,1.6121
0.4420,1.2051,1.6393
0.4440,1.1916,1.7060
0.4460,1.2447,1.5803
0.4480,1.1951,1.4545
0.4500,1.2679,1.5146
0.4520,1.2699,1.3478
0.4540,1.2555,1.4556
0.4560,1.2870,1.4721
0.4580,1.3577,1.7034
0.4600,1.3500,1.6788
0.4620,1.2745,1.6620
0.4640,1.2675,1.6857
0.4660,1.3272,1.6677
0.4680,1.2522,1.7171
0.4700,1.2646,1.5875
0.4720,1.2453,1.5448
0.4740,1.2734,1.4640
0.4760,1.2812,1.3692
0.4780,1.3306,1.6385
0.4800,1.3417,1.5314
0.4820,1.2986,1.5967
0.4840,1.3105,1.5425
0.4860,1.3359,1.7353
0.4880,1.2995,1.5119
0.4900,1.1932,1.5430
0.4920,1.2773,1.4209
0.4940,1.2652,1.4838
0.4960,1.2469,1.4083
0.4980,1.2372,1.5291
0.5000,1.3283,1.4858
0.5020,1.2957,1.4518
0.5040,1.2829,1.4477
0.5060,1.2572,1.5564
0.5080,1.2555,1.4785
0.5100,1.2292,1.5250
0.5120,1.2593,1.5630
0.5140,1.2162,1.5400
0.5160,1.1898,1.4431
0.5180,1.2437,1.3802
0.5200,1.2488,1.2404
0.5220,1.2323,1.4077
0.5240,1.2772,1.4065
0.5260,1.2548,1.4670
0.5280,1.3050,1.5930
0.5300,1.2991,1.5026
0.5320,1.3299,1.4241
0.5340,1.2918,1.4358
0.5360,1.2968,1.3556
0.5380,1.2551,1.2069
0.5400,1.2485,1.3344
0.5420,1.2406,1.4033
0.5440,1.2870,1.4923
0.5460,1.2737,1.5485
0.5480,1.3013,1.5251
0.5500,1.3547,1.5281
0.5520,1.3222,1.6301
0.5540,1.2683,1.4747
0.5560,1.2344,1.4382
0.5580,1.2158,1.5424
0.5600,1.2204,1.4133
0.5620,1.2229,1.5969
0.5640,1.2388,1.4650
0.5660,1.2682,1.5669
0.5680,1.2562,1.3861
0.5700,1.2597,1.6807
0.5720,1.2818,1.6195
0.5740,1.2197,1.4675
0.5760,1.2122,1.4355
0.5780,1.2451,1.3102
0.5800,1.2749,1.4202
0.5820,1.2649,1.4875
0.5840,1.2290,1.5514
0.5860,1.2583,1.5196
0.5880,1.3205,1.4774
0.5900,1.3282,1.5388
0.5920,1.2973,1.5020
0.5940,1.3093,1.6847
0.5960,1.3540,1.5330
0.5980,1.2466,1.5977
0.6000,1.2656,1.6406
0.6020,1.2922,1.6487
0.6040,1.3124,1.6893
0.6060,1.3204,1.6404
0.6080,1.3120,1.5706
0.6100,1.2464,1.4924
0.6120,1.2527,1.7359
0.6140,1.2633,1.6512
0.6160,1.2771,1.7077
0.6180,1.3282,1.6800
0.6200,1.3166,1.7016
0.6220,1.4115,1.6177
0.6240,1.3139,1.7745
0.6260,1.3773,1.7211
0.6280,1.3433,1.8795
0.6300,1.3731,1.7966
0.6320,1.2839,1.8916
0.6340,1.2968,1.7807
0.6360,1.3279,1.8482
0.6380,1.3266,1.8715
0.6400,1.3482,1.8255
0.6420,1.2845,1.7109
0.6440,1.3428,1.7898
0.6460,1.3726,1.8082
0.6480,1.3796,1.7570
0.6500,1.3646,1.7051
0.6520,1.3957,1.6811
0.6540,1.3295,1.7394
0.6560,1.3334,1.7164
0.6580,1.3326,1.7717
0.6600,1.3390,1.7938
0.6620,1.3562,2.0078
0.6640,1.2886,1.9315
0.6660,1.3104,1.7618
0.6680,1.2859,1.7494
0.6700,1.3565,1.8699
0.6720,1.2957,1.8730
0.6740,1.3131,1.9030
0.6760,1.3424,2.0034
0.6780,1.2622,1.8140
0.6800,1.2566,1.7906
0.6820,1.3204,1.8746
0.6840,1.2945,1.7571
0.6860,1.3523,1.7740
0.6880,1.3704,1.6139
0.6900,1.3211,1.6031
0.6920,1.2525,1.6819
0.6940,1.3392,1.8271
0.6960,1.3174,1.7033
0.6980,1.2460,1.8249
0.7000,1.3038,1.9177
0.7020,1.2906,1.9008
0.7040,1.2903,1.8857
0.7060,1.2867,1.8472
0.7080,1.3127,1.8530
0.7100,1.2862,1.9512
0.7120,1.2428,1.8573
0.7140,1.2846,1.8455
0.7160,1.2641,1.8512
0.7180,1.2798,1.9160
0.7200,1.2617,1.9711
0.7220,1.2415,1.8477
0.7240,1.2575,1.7987
0.7260,1.3165,1.6391
0.7280,1.2619,1.8033
0.7300,1.3436,1.7737
0.7320,1.3068,1.7548
0.7340,1.3441,1.7634
0.7360,1.3638,1.7468
0.7380,1.3425,1.8172
0.7400,1.3642,1.8914
0.7420,1.3982,1.7133
0.7440,1.4214,1.7135
0.7460,1.4561,1.8663
0.7480,1.4278,1.6938
0.7500,1.3874,1.6427
0.7520,1.4434,1.7251
0.7540,1.4435,1.7938
0.7560,1.4124,1.7801
0.7580,1.4219,1.6939
0.7600,1.3607,1.6721
0.7620,1.3947,1.8058
0.7640,1.3603,1.7312
0.7660,1.3570,1.7071
0.7680,1.3553,1.7990
0.7700,1.3055,1.8644
0.7720,1.3657,1.8197
0.7740,1.2987,1.6754
0.7760,1.3256,1.6721
0.7780,1.2790,1.8489
0.7800,1.2930,1.8109
0.7820,1.2422,1.8054
0.7840,1.2741,1.8372
0.7860,1.2687,1.6869
0.7880,1.2770,1.8264
0.7900,1.3304,1.6955
0.7920,1.3781,1.8143
0.7940,1.3530,1.7126
0.7960,1.3671,1.7127
0.7980,1.3750,1.4550
0.8000,1.3088,1.5996
0.8020,1.3383,1.6918
0.8040,1.3181,1.8153
0.8060,1.3598,1.7398
0.8080,1.3255,1.8677
0.8100,1.3864,1.7373
0.8120,1.4002,1.8031
0.8140,1.3887,1.7046
0.8160,1.4097,1.7366
0.8180,1.3485,1.6354
0.8200,1.3340,1.6955
0.8220,1.2302,1.5951
0.8240,1.2753,1.6488
0.8260,1.2715,1.6203
0.8280,1.3316,1.6029
0.8300,1.4016,1.7242
0.8320,1.3820,1.6440
0.8340,1.4175,1.7124
0.8360,1.4383,1.6503
0.8380,1.4539,1.5753
0.8400,1.4423,1.6589
0.8420,1.4485,1.5403
0.8440,1.4773,1.7287
0.8460,1.4238,1.7485
0.8480,1.4482,1.6058
0.8500,1.3455,1.6573
0.8520,1.3559,1.7503
0.8540,1.4622,1.7478
0.8560,1.4133,2.0420
0.8580,1.4238,1.9866
0.8600,1.4009,1.8862
0.8620,1.4377,1.8646
0.8640,1.4097,1.8680
0.8660,1.3677,1.8473
0.8680,1.3341,1.8395
0.8700,1.4066,1.8198
0.8720,1.3316,1.8752
0.8740,1.3631,1.8137
0.8760,1.3722,1.8141
0.8780,1.2976,1.7270
0.8800,1.3435,1.7228
0.8820,1.3335,1.6874
0.8840,1.3305,1.7622
0.8860,1.4400,1.8165
0.8880,1.3887,1.7734
0.8900,1.3741,1.7480
0.8920,1.3608,1.7592
0.8940,1.3994,1.7585
0.8960,1.4255,1.6869
0.8980,1.4527,1.8550
0.9000,1.5040,1.8234
0.9020,1.4541,1.9292
0.9040,1.4180,1.7350
0.9060,1.4870,1.8928
0.9080,1.4453,1.9857
0.9100,1.4493,1.9513
0.9120,1.4974,2.0258
0.9140,1.5060,2.0031
0.9160,1.4918,2.0028
0.9180,1.4610,1.8320
0.9200,1.4556,1.8572
0.9220,1.4940,2.0062
0.9240,1.4483,2.0589
0.9260,1.4552,2.1774
0.9280,1.4716,2.0105
0.9300,1.4236,1.9909
0.9320,1.4572,2.0834
0.9340,1.4555,1.9953
0.9360,1.4466,1.9449
0.9380,1.4529,1.9599
0.9400,1.4430,1.9910
0.9420,1.3771,1.8623
0.9440,1.3765,1.8165
0.9460,1.3455,1.7251
0.9480,1.3910,1.9132
0.9500,1.4219,1.9426
0.9520,1.4299,1.8689
0.9540,1.4155,1.7458
0.9560,1.4323,1.7225
0.9580,1.4919,1.7149
0.9600,1.4678,1.6831
0.9620,1.4323,1.6389
0.9640,1.4070,1.6066
0.9660,1.4570,1.8014
0.9680,1.4748,1.7259
0.9700,1.4074,1.7010
0.9720,1.3689,1.8036
0.9740,1.3692,1.5610
0.9760,1.3106,1.7238
0.9780,1.3421,1.7159
0.9800,1.3802,1.7874
0.9820,1.4791,1.6839
0.9840,1.4375,1.8519
0.9860,1.4171,1.7990
0.9880,1.3989,1.6198
0.9900,1.4169,1.8318
0.9920,1.4410,1.9136
0.9940,1.3881,1.8926
0.9960,1.3834,1.8648
0.9980,1.3826,1.9115
1.0000,1.4181,1.8771
1.0020,1.3551,1.9604
1.0040,1.3380,1.9942
1.0060,1.3428,1.7963
1.0080,1.2999,1.7390
1.0100,1.3479,1.6537
1.0120,1.2933,1.6209
1.0140,1.3600,1.7762
1.0160,1.3048,1.8245
1.0180,1.2987,1.7865
1.0200,1.3568,1.8520
1.0220,1.3395,1.8043
1.0240,1.3452,1.9495
1.0260,1.3902,1.9643
1.0280,1.3440,1.9360
1.0300,1.4046,1.8063
1.0320,1.3922,1.6520
1.0340,1.3268,1.7406
1.0360,1.2917,1.7079
1.0380,1.3225,1.8557
1.0400,1.3744,1.5794
1.0420,1.4262,1.6188
1.0440,1.4151,1.6607
1.0460,1.3708,1.6344
1.0480,1.3688,1.5551
1.0500,1.3717,1.6083
1.0520,1.3602,1.8352
1.0540,1.3892,1.8622
1.0560,1.3840,1.7869
1.0580,1.4166,1.7242
1.0600,1.3708,1.8398
1.0620,1.4287,1.7286
1.0640,1.3449,1.8195
1.0660,1.3555,1.7211
1.0680,1.3285,1.8374
1.0700,1.3747,1.8626
1.0720,1.4085,1.8103
1.0740,1.4023,1.8694
1.0760,1.4146,1.7944
1.0780,1.4001,1.9660
1.0800,1.4021,2.0154
1.0820,1.3547,1.9043
1.0840,1.3768,1.9736
1.0860,1.3128,2.0108
1.0880,1.3381,1.9906
1.0900,1.3110,1.8100
1.0920,1.3271,1.8007
1.0940,1.3446,1.7957
1.0960,1.3868,1.9086
1.0980,1.3580,2.0616
1.1000,1.3977,1.9241
1.1020,1.4434,1.8825
1.1040,1.4119,1.9579
1.1060,1.3840,1.9807
1.1080,1.3911,2.0382
1.1100,1.4389,2.0254
1.1120,1.3987,1.9819
1.1140,1.3956,2.0397
1.1160,1.3956,2.0768
1.1180,1.4066,2.0687
1.1200,1.4506,2.0834
1.1220,1.4279,2.1242
1.1240,1.3944,2.1920
1.1260,1.4244,2.1325
1.1280,1.4776,2.0867
1.1300,1.4463,2.1459
1.1320,1.4666,2.1306
1.1340,1.4188,2.1294
1.1360,1.3824,2.1694
1.1380,1.3752,2.0850
1.1400,1.3636,2.1184
1.1420,1.4171,2.0283
1.1440,1.4056,2.0723
1.1460,1.3980,1.9844
1.1480,1.4415,1.9995
1.1500,1.3058,2.0104
1.1520,1.3653,2.0532
1.1540,1.3096,2.0246
1.1560,1.2587,1.8245
1.1580,1.3031,1.9378
1.1600,1.3068,1.9524
1.1620,1.3496,1.9098
1.1640,1.2782,1.9856
1.1660,1.3535,1.9264
1.1680,1.3040,1.9398
1.1700,1.3317,1.9389
1.1720,1.3360,1.9336
1.1740,1.2900,1.9470
1.1760,1.3094,2.0074
1.1780,1.2905,1.8955
1.1800,1.3099,1.9295
1.1820,1.2918,2.0903
1.1840,1.2996,1.9774
1.1860,1.3281,2.0656
1.1880,1.3594,2.0467
1.1900,1.3665,1.9719
1.1920,1.3701,2.0433
1.1940,1.2804,1.9396
1.1960,1.3032,2.0452
1.1980,1.3113,2.1215
1.2000,1.2733,2.2901
1.2020,1.2674,2.0777
1.2040,1.2999,1.9781
1.2060,1.3124,1.9208
1.2080,1.2858,2.0080
1.2100,1.3944,2.0831
1.2120,1.3322,1.9925
1.2140,1.3129,2.1241
1.2160,1.3331,2.2237
1.2180,1.2912,2.0362
1.2200,1.3422,2.1989
1.2220,1.2827,2.0368
1.2240,1.3098,1.9653
1.2260,1.3250,1.9220
1.2280,1.3448,1.9538
1.2300,1.3274,2.0534
1.2320,1.3632,2.0681
1.2340,1.2629,1.8759
1.2360,1.3140,2.0555
